ID_Фамилия_Имя_Отчество_Факультет_Специальность_Группа_Телефон 
1_Иванов_Иван_Иванович_Финансовый_Финансы и кредит_1.5_+7-999-777-5533
2_Петров_Петр_Сидорович_Финансовый_Бухгалтерский учет_1.3_+7-920-584-1524
3_Сидоров_Василий_Иоганович_Экономический_Мировая экономика_2.1_+7-951-705-3541
4_Сазонов_Олег_Андреевич_Экономический_Мировая экономика_2.2_+7-904-125-0145
5_Шишкин_Максим_Иванович_Финансовый_Бухгалтерский учет_1.2_+7-930-354-5157
6_Марков_Александр_Петрович_Экономический_Мировая экономика_1.2_+7-926-156-3214
7_Лисицина_Инна_Павловна_Финансовый_Бухгалтерский учет_1.3_+7-998-654-9874
8_Самопалова_Василиса_Ильинична_Экономический_Мировая экономика_2.1_+7-950-452-3215
9_Ильина_Лилия_Сергеевна_Финансовый_Бухгалтерский учет_1.3_+7-909-321-0001
10_Мартынов_Илья_Васильевич_Финансовый_Финансы и кредит_1.5_+7-910-101-2358
11_Дуболазова_Ирина_Олеговна_Финансовый_Налоги и налогообложение_1.10_+7-919-589-5422
12_Терехова_Мария_Александровна_Финансовый_Налоги и налогообложение_1.9_+7-928-314-0325
13_Овсянникова_Оксана_Александровна_Финансовый_Налоги и налогообложение_1.9_+7-905-555-1012
14_Немирова_Анна_Петровна_Экономический_Мировая экономика_2.3_+7-905-125-0123
15_Мартынова_Анастасия_Евгеньевна_Финансовый_Финансы и кредит_3.5_+7-904-525-4567
